Date,Open,High,Low,Close,Adj Close,Volume
2012-09-01,693.640015,736.890015,692.250000,731.770020,731.770020,38755800000
2012-10-01,728.500000,757.229980,722.210022,751.119995,751.119995,32631900000
2012-11-01,746.400024,754.309998,723.039978,726.809998,726.809998,26228600000
2012-12-01,727.080017,743.309998,719.640015,735.039978,735.039978,24569100000
2013-01-01,736.549988,768.039978,730.719971,761.260010,761.260010,33204600000
2013-02-01,762.479980,824.909973,762.030029,824.739990,824.739990,44329400000
2013-03-01,825.419983,843.940002,798.859985,836.869995,836.869995,39249500000
2013-04-01,833.400024,857.119995,818.979980,857.119995,857.119995,41224600000
2013-05-01,853.640015,892.479980,829.450012,839.469971,839.469971,42018800000
2013-06-01,835.669983,836.789978,716.080017,804.000000,804.000000,30647000000
2013-07-01,788.239990,803.900024,728.210022,771.900024,771.900024,24531900000
2013-08-01,774.090027,786.289978,625.479980,701.070007,701.070007,22134800000
2013-09-01,701.479980,827.539978,662.559998,712.900024,712.900024,30778300000
2013-10-01,712.590027,779.950012,712.590027,754.809998,754.809998,23242300000
2013-11-01,745.390015,757.190002,695.989990,704.890015,704.890015,22226700000
2013-12-01,708.119995,721.830017,678.099976,711.140015,711.140015,18121300000
2014-01-01,716.369995,765.020020,690.609985,741.760010,741.760010,22409500000
2014-02-01,738.710022,788.710022,719.640015,776.690002,776.690002,25478200000
2014-03-01,768.760010,833.929993,766.400024,799.510010,799.510010,31101400000
2014-04-01,806.739990,836.719971,792.700012,814.960022,814.960022,27469400000
2014-05-01,816.320007,872.260010,814.080017,824.549988,824.549988,19980400000
2014-06-01,826.390015,842.080017,813.989990,822.669983,822.669983,21539100000
2014-07-01,822.429993,893.169983,820.049988,868.299988,868.299988,30271700000
2014-08-01,865.150024,893.369995,860.109985,869.200012,869.200012,20389900000
2014-09-01,874.979980,895.989990,859.950012,873.080017,873.080017,19114100000
2014-10-01,875.830017,877.719971,825.309998,868.049988,868.049988,22282500000
2014-11-01,871.309998,889.159973,843.539978,886.330017,886.330017,16186300000
2014-12-01,886.460022,898.580017,859.080017,898.580017,898.580017,19261900000
2015-01-01,900.309998,926.520020,881.669983,912.049988,912.049988,24324800000
2015-02-01,908.960022,952.469971,905.169983,946.880005,946.880005,22785500000
2015-03-01,947.520020,962.719971,927.159973,961.940002,961.940002,25159500000
2015-04-01,961.460022,964.150024,858.280029,869.440002,869.440002,19995600000
2015-05-01,872.809998,934.119995,859.450012,904.130005,904.130005,19378400000
2015-06-01,903.049988,904.780029,823.390015,839.140015,839.140015,16950200000
2015-07-01,842.570007,857.039978,793.250000,813.099976,813.099976,15587700000
2015-08-01,806.830017,832.150024,682.440002,770.809998,770.809998,26395900000
2015-09-01,764.309998,764.460022,660.809998,704.979980,704.979980,20398700000
2015-10-01,706.900024,814.849976,701.320007,759.729980,759.729980,24730500000
2015-11-01,756.460022,799.250000,746.190002,755.460022,755.460022,18547500000
2015-12-01,771.020020,797.669983,736.330017,792.030029,792.030029,15880400000
2016-01-01,788.390015,810.960022,765.010010,799.989990,799.989990,22076000000
2016-02-01,801.219971,844.130005,783.539978,834.739990,834.739990,27857500000
2016-03-01,832.099976,857.690002,824.409973,840.349976,840.349976,30304000000
2016-04-01,839.859985,854.260010,822.080017,832.510010,832.510010,27896800000
2016-05-01,830.140015,832.859985,799.210022,820.010010,820.010010,23848900000
2016-06-01,821.250000,865.159973,807.880005,860.719971,860.719971,29519700000
2016-07-01,863.450012,921.169983,850.299988,892.840027,892.840027,23916400000
2016-08-01,908.950012,944.609985,907.530029,924.960022,924.960022,39229600000
2016-09-01,920.549988,948.739990,879.590027,922.200012,922.200012,47486400000
2016-10-01,932.039978,947.789978,914.809998,927.099976,927.099976,56999100000
2016-11-01,929.169983,939.289978,838.039978,857.250000,857.250000,67172600000
2016-12-01,862.219971,894.849976,828.500000,884.619995,884.619995,46034000000
2017-01-01,883.020020,902.260010,869.770020,877.349976,877.349976,50111400000
2017-02-01,883.830017,903.390015,882.989990,892.700012,892.700012,60847000000
2017-03-01,893.320007,931.770020,886.799988,921.530029,921.530029,85827600000
2017-04-01,925.349976,950.750000,916.849976,940.760010,940.760010,48383200000
2017-05-01,945.419983,989.030029,925.739990,957.700012,957.700012,46519600000
2017-06-01,960.530029,981.809998,948.770020,977.619995,977.619995,23893700000
2017-07-01,981.880005,997.510010,960.539978,974.080017,974.080017,27631300000
2017-08-01,977.250000,988.890015,954.140015,977.330017,977.330017,40221800000
2017-09-01,975.849976,987.799988,958.700012,979.440002,979.440002,37876300000
2017-10-01,983.710022,1000.849976,972.250000,992.219971,992.219971,59973300000
2017-11-01,995.090027,1025.209961,991.400024,992.159973,992.159973,60477400000
2017-12-01,1017.099976,1084.479980,992.159973,1079.390015,1079.390015,45939700000
2018-01-01,1082.050049,1132.920044,1049.589966,1105.760010,1105.760010,62894800000
2018-02-01,1110.709961,1128.250000,1081.550049,1100.280029,1100.280029,66553200000
2018-03-01,1102.310059,1107.670044,990.789978,1005.679993,1005.679993,48899800000
2018-04-01,1007.059998,1051.459961,938.799988,958.409973,958.409973,41302900000
2018-05-01,959.609985,983.039978,904.489990,953.590027,953.590027,49076600000
2018-06-01,958.770020,979.469971,879.890015,908.969971,908.969971,32769200000
2018-07-01,916.349976,953.539978,871.909973,933.890015,933.890015,51038200000
2018-08-01,937.979980,973.200012,887.039978,951.880005,951.880005,29007300000
2018-09-01,953.609985,953.609985,880.169983,946.150024,946.150024,23431000000
2018-10-01,939.770020,950.059998,871.049988,922.719971,922.719971,41583400000
2018-11-01,928.590027,979.039978,900.640015,966.460022,966.460022,36700100000
2018-12-01,981.909973,994.219971,954.909973,982.729980,982.729980,29034600000
2019-01-01,983.580017,1039.540039,980.210022,1038.969971,1038.969971,41746100000
2019-02-01,1043.630005,1048.920044,991.000000,1006.099976,1006.099976,34430000000
2019-03-01,1012.250000,1027.640015,989.340027,1019.039978,1019.039978,21860700000
2019-04-01,1023.130005,1059.650024,994.880005,1019.330017,1019.330017,22078800000
2019-05-01,1019.909973,1021.479980,888.020020,982.880005,982.880005,26714900000
2019-06-01,1000.349976,1016.989990,980.289978,1013.960022,1013.960022,18531700000
2019-07-01,1019.710022,1035.589966,1003.469971,1022.429993,1022.429993,46774000000
2019-08-01,1020.950012,1022.890015,944.549988,995.760010,995.760010,28962400000
2019-09-01,996.309998,1009.349976,948.000000,968.150024,968.150024,24406100000
2019-10-01,967.059998,1012.650024,928.340027,984.840027,984.840027,26605500000
2019-11-01,984.159973,1001.869995,942.479980,956.820007,956.820007,23442000000
2019-12-01,960.710022,1025.849976,959.929993,1014.469971,1014.469971,20731800000
2020-01-01,1017.159973,1036.619995,961.979980,961.979980,961.979980,22405500000
2020-02-01,956.390015,984.609985,846.020020,879.530029,879.530029,23260200000
2020-03-01,880.219971,935.479980,566.049988,691.130005,691.130005,41717800000
2020-04-01,691.130005,771.210022,654.859985,713.640015,713.640015,43528200000
2020-05-01,713.640015,725.830017,648.650024,725.830017,725.830017,38619200000
2020-06-01,725.830017,808.979980,715.900024,756.200012,756.200012,60202000000
2020-07-01,756.200012,811.280029,753.489990,803.010010,803.010010,44661100000
2020-08-01,803.010010,854.789978,760.469971,824.190002,824.190002,44580200000
2020-09-01,824.190002,847.710022,727.919983,737.150024,737.150024,38924300000
2020-10-01,745.169983,798.479980,741.510010,790.500000,790.500000,38905900000
2020-11-01,784.609985,926.369995,777.539978,883.059998,883.059998,68698300000
2020-12-01,890.150024,977.380005,879.500000,934.890015,934.890015,65145300000
2021-01-01,939.010010,1030.109985,907.109985,911.979980,911.979980,68463300000
2021-02-01,910.460022,972.270020,885.929993,944.750000,944.750000,41564300000
2021-03-01,955.630005,977.179993,886.270020,902.789978,902.789978,35094800000
2021-04-01,903.070007,915.840027,873.289978,893.729980,893.729980,31433700000
2021-05-01,894.070007,897.109985,852.130005,888.650024,888.650024,29272200000
2021-06-01,902.820007,919.109985,835.500000,844.849976,844.849976,37598400000
2021-07-01,848.900024,860.440002,823.039978,823.039978,823.039978,30811000000
2021-08-01,830.239990,872.090027,821.450012,866.489990,866.489990,30915000000
2021-09-01,868.219971,894.679993,840.960022,894.679993,894.679993,39425700000
2021-10-01,891.030029,982.159973,881.909973,952.590027,952.590027,52739100000
2021-11-01,958.809998,972.979980,927.390015,930.979980,930.979980,37725600000
2021-12-01,933.859985,953.789978,926.940002,931.409973,931.409973,36595800000
